drop,player_id,drop2,valid,event_id,year,tourns0411$tourn_id[[t]]
MM_openBrWindow('ScoreCard.asp?TN=T02,19267,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,16910,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19529,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T02,19528,"1','','width=790,height=200')",TRUE,T02,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16976,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18957,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,14407,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16968,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18454,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18932,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19558,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,8544,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16464,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18662,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15650,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15917,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18176,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19398,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,13990,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16184,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15934,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19098,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19121,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,8477,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,12823,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18696,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19486,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15332,"1','','width=790,height=200')",TRUE,T03,2004,NA
